Wall time,Step,Value
1651967161.680463,193,-0.8274371027946472
1651967194.0660207,273,-0.6717871427536011
1651967200.6376865,290,-0.7816331386566162
1651967265.769855,450,-0.7050185799598694
1651967294.4655879,520,-0.7470348477363586
1651967313.8451884,570,-0.7296127080917358
1651967335.20232,621,-0.8032015562057495
1651967352.5260923,666,-0.7066323161125183
1651967380.3800864,735,-0.6551728844642639
1651967446.9847214,898,-0.6974464654922485
1651967473.3340454,967,-0.695601224899292
1651967544.771189,1145,-0.7229334712028503
1651967550.2138276,1157,-0.7128685116767883
1651967589.921671,1256,-0.7266772985458374
1651967594.5096529,1264,-0.7415131330490112
1651967607.8880033,1299,-0.7381868362426758
1651967616.4216266,1321,-0.7372608184814453
1651967657.8867602,1418,-0.7668501734733582
1651967724.1827993,1581,-0.7764967679977417
1651967741.7272851,1627,-0.7706862688064575
1651967758.5796125,1667,-0.7854107618331909
1651967765.4353013,1685,-0.7648694515228271
1651967781.457921,1727,-0.7859244346618652
1651967788.7063236,1746,-0.7881931066513062
1651967837.868609,1863,-0.7891277074813843
1651967960.3355227,2164,-0.8012763857841492
1651967969.1082895,2187,-0.7963135838508606
1651968185.9126294,2718,-0.8011793494224548
1651968187.8285012,2723,-0.8009634613990784
1651968196.6215045,2746,-0.8005236387252808
1651968214.3094616,2792,-0.8109784126281738
1651968249.5120192,2875,-0.7922800779342651
1651968279.629484,2948,-0.8024086952209473
1651968297.1999984,2994,-0.81821608543396
1651968301.0139215,3004,-0.818871021270752
1651968309.1098444,3021,-0.8266847133636475
1651968312.929944,3031,-0.8062344789505005
1651968334.344761,3087,-0.8224133253097534
1651968429.9779525,3316,-0.8329845666885376
1651968481.5974007,3439,-0.843410313129425
1651968490.3921592,3462,-0.8472608327865601
1651968490.7751322,3463,-0.8458739519119263
1651968509.64097,3508,-0.8367993831634521
1651968541.7696257,3588,-0.8502888679504395
1651968553.567791,3615,-0.8522254228591919
1651968563.8947504,3642,-0.8343391418457031
1651968604.2608664,3743,-0.8462927341461182
1651968669.745193,3904,-0.850452184677124
1651968700.247142,3977,-0.8290802836418152
1651968716.8350492,4015,-0.8223264813423157
1651968724.1405563,4033,-0.8381913900375366
1651968742.3656003,4076,-0.8205157518386841
1651968749.7421305,4091,-0.8293606042861938
1651968750.8919308,4094,-0.8198881149291992
1651968768.5417693,4140,-0.8257224559783936
1651968800.07472,4218,-0.8383068442344666
1651968830.044286,4292,-0.8805494904518127
1651968860.4467301,4367,-0.8546565175056458
1651968910.080687,4487,-0.8659987449645996
1651968948.6397154,4583,-0.8747365474700928
1651968953.6360898,4596,-0.873708188533783
1651968980.8663266,4663,-0.8609512448310852
1651968985.4505658,4675,-0.8501085042953491
1651969000.3776124,4714,-0.8490511178970337
1651969045.4396508,4816,-0.8440803289413452
1651969050.110359,4827,-0.851364254951477
1651969146.8139849,5062,-0.8881843090057373
1651969157.5631378,5090,-0.8779114484786987
1651969212.8890896,5230,-0.8900817632675171
1651969277.224825,5389,-0.8875199556350708
1651969278.7671928,5393,-0.8837558031082153
1651969399.7288291,5676,-0.8802707195281982
1651969418.461829,5723,-0.8709100484848022
1651969421.8915803,5728,-0.8783684372901917
1651969443.7845752,5785,-0.8697842359542847
1651969449.148988,5799,-0.8561499714851379
1651969477.377831,5868,-0.869668185710907
1651969491.5869772,5905,-0.8883202075958252
1651969521.9906669,5980,-0.8802995085716248
1651969562.8236024,6082,-0.8784928321838379
1651969663.3080785,6320,-0.86420738697052
1651969737.764444,6504,-0.85111403465271
1651969752.2934372,6542,-0.8469472527503967
1651969757.6854625,6556,-0.8484883308410645
1651969803.3978074,6670,-0.8565896153450012
1651969810.2730594,6688,-0.8454746603965759
1651969835.7179186,6750,-0.8470474481582642
1651969873.7113566,6845,-0.8232077360153198
1651969913.347408,6942,-0.8477337956428528
1651969938.0789323,7002,-0.8281452655792236
1651969962.9470787,7063,-0.8491153717041016
1651969979.8630424,7103,-0.8482040166854858
1651970069.0695264,7325,-0.7995842695236206
1651970075.9509475,7343,-0.8278319835662842
1651970078.2429929,7349,-0.8150777816772461
1651970082.0784633,7359,-0.8184974193572998
