Wall time,Step,Value
1652567251.2942545,10317,-0.8407149314880371
1652567269.724906,10360,-0.8388880491256714
1652567287.4651206,10401,-0.8470691442489624
1652567302.3879125,10436,-0.8285444974899292
1652567387.1884086,10636,-0.8220307230949402
1652567391.358257,10646,-0.8327957391738892
1652567451.5372267,10784,-0.8362081050872803
1652567470.7871437,10830,-0.8415613174438477
1652567490.6061742,10876,-0.8209912776947021
1652567491.0210667,10877,-0.8424707651138306
1652567530.5531774,10969,-0.8314774036407471
1652567545.1435006,11003,-0.8490239381790161
1652567558.5266519,11033,-0.8347769975662231
1652567569.3431883,11058,-0.8375977277755737
1652567585.5923843,11093,-0.8384227752685547
1652567586.043411,11094,-0.831059455871582
1652567597.9591296,11121,-0.820275068283081
1652567600.654687,11127,-0.8401179313659668
1652567607.3761456,11143,-0.8392403721809387
1652567640.9357338,11221,-0.8266749382019043
1652567653.1249318,11251,-0.8292237520217896
1652567668.8044245,11286,-0.8436614871025085
1652567676.7857437,11305,-0.8373018503189087
1652567703.1129243,11364,-0.8135460615158081
1652567774.5393252,11532,-0.8419129848480225
1652567775.7314503,11535,-0.8365617990493774
1652567800.2303329,11591,-0.8369052410125732
1652567824.7932653,11647,-0.8442603349685669
1652567831.387067,11662,-0.827162504196167
1652567851.7640288,11709,-0.8411228656768799
1652567859.9890153,11728,-0.8283919095993042
1652567880.903521,11776,-0.8382125496864319
1652567919.776773,11868,-0.8363966941833496
1652567920.6097383,11870,-0.8393341302871704
1652567951.404096,11939,-0.8489142060279846
1652567959.794535,11958,-0.8294163346290588
1652568102.7740047,12291,-0.8441933393478394
1652568108.959409,12306,-0.8540555238723755
1652568118.144134,12326,-0.8459335565567017
1652568137.408703,12371,-0.8476836681365967
1652568148.5898707,12397,-0.8209482431411743
1652568194.0735717,12502,-0.8299410939216614
1652568197.0215502,12509,-0.8430356979370117
1652568253.2135508,12635,-0.8490179181098938
1652568283.4604917,12705,-0.8481208086013794
1652568291.4968429,12722,-0.8375440835952759
1652568470.113281,13142,-0.8390675783157349
1652568486.127908,13179,-0.8482626676559448
1652568500.256072,13210,-0.8363535404205322
1652568509.7768347,13232,-0.825134813785553
1652568587.956985,13411,-0.8523565530776978
1652568610.725119,13465,-0.8392143845558167
1652568657.4912045,13576,-0.8468366861343384
1652568659.0808704,13580,-0.8377926349639893
1652568725.1073,13733,-0.8294652104377747
